Sno,ActPower,OptPower,,,,,,,,,
1,114.2679426,108.7559552,,,,,,,,,
2,53.12347295,50.76672946,,,,,,,,,
3,14.0609351,13.96731605,,,,,,,,,
4,8.943896883,8.828642234,,,,,,,,,
5,15.89386432,15.2048881,,,,,,,,,
6,48.90334912,41.889,,,,,,,,,
7,121.3911152,113.3420704,,,,,,,,,
8,89.62049431,82.77709213,,,,,,,,,
9,102.2397554,98.55650144,,,,,,,,,
10,136.8609786,125.7641151,,,,,,,,,
11,202.223038,181.7752514,,,,,,,,,
12,173.3070315,161.8377119,,,,,,,,,
13,173.6093822,166.0552631,,,,,,,,,
14,181.2541389,175.3551313,,,,,,,,,
15,163.6285435,142.3654598,,,,,,,,,
16,104.7059307,87.83150361,,,,,,,,,
17,85.6737143,78.29223483,,,,,,,,,
18,172.6276059,164.3201703,,,,,,,,,
19,345.4757664,326.4047828,,,,,,,,,
20,472.0982054,405.9070309,,,,,,,,,
21,494.3385637,418.0002502,,,,,,,,,
22,390.1159131,325.2916239,,,,,,,,,
23,246.2839973,231.6788701,,,,,,,,,
24,183.7521282,180.3120794,,,,,,,,,
25,92.17054794,89.99220185,,,,,,,,,
26,36.9650893,36.90940327,,,,,,,,,
27,21.0803242,20.48885479,,,,,,,,,
28,22.43416837,22.2154654,,,,,,,,,
29,27.88082406,27.60035423,,,,,,,,,
30,53.23159599,41.44850588,,,,,,,,,
31,94.01497815,87.54113598,,,,,,,,,
32,82.82894562,70.73424789,,,,,,,,,
33,163.1182931,132.6757917,,,,,,,,,
34,136.3858695,131.0348655,,,,,,,,,
35,141.6541251,135.6406583,,,,,,,,,
36,213.9412207,201.0769643,,,,,,,,,
37,248.1949467,226.2764094,,,,,,,,,
38,254.257099,223.8718862,,,,,,,,,
39,112.1315527,95.11057658,,,,,,,,,
40,226.5022742,191.8355983,,,,,,,,,
41,145.7263671,125.1802334,,,,,,,,,
42,174.4656652,151.4289532,,,,,,,,,
43,502.1017959,444.6145721,,,,,,,,,
44,445.2756104,360.0512793,,,,,,,,,
45,423.8367001,360.9980714,,,,,,,,,
46,341.8835992,279.1987196,,,,,,,,,
47,272.030852,222.6722602,,,,,,,,,
48,166.0268805,138.8462447,,,,,,,,,
49,94.15807691,89.00127669,,,,,,,,,
50,27.70063093,26.85034611,,,,,,,,,
51,28.87631266,28.33195796,,,,,,,,,
52,6.886902156,6.48899826,,,,,,,,,
53,11.36544192,7.375528923,,,,,,,,,
54,98.89333707,76.57596537,,,,,,,,,
55,84.04901597,65.74500662,,,,,,,,,
56,80.43684512,71.60776966,,,,,,,,,
57,118.908879,111.7628141,,,,,,,,,
58,146.4066938,138.1537449,,,,,,,,,
59,116.6311119,97.10621097,,,,,,,,,
60,98.64892674,81.93160954,,,,,,,,,
61,162.5901857,140.1178232,,,,,,,,,
62,146.5278426,130.582426,,,,,,,,,
63,202.6354632,174.3988312,,,,,,,,,
64,112.3607294,94.8332964,,,,,,,,,
65,133.0432449,106.8440506,,,,,,,,,
66,214.2796329,184.0564349,,,,,,,,,
67,315.9648533,255.1635276,,,,,,,,,
68,414.2540467,317.3520207,,,,,,,,,
69,554.424881,453.8026736,,,,,,,,,
70,318.0629195,287.1649481,,,,,,,,,
71,282.2778535,257.9694756,,,,,,,,,
72,184.3190546,157.1757975,,,,,,,,,
73,1.97991918,1.858528648,,,,,,,,,
74,2.797453185,2.712269447,,,,,,,,,
75,7.681495149,7.596319882,,,,,,,,,
76,30.65558948,30.56573112,,,,,,,,,
77,77.91078911,66.17186296,,,,,,,,,
78,84.55906996,67.43520822,,,,,,,,,
79,60.96163184,52.46740346,,,,,,,,,
80,122.2176118,111.8416583,,,,,,,,,
81,124.0033974,100.4606405,,,,,,,,,
82,172.5251727,151.7891542,,,,,,,,,
83,242.2626695,206.4272283,,,,,,,,,
84,270.7671324,227.5860563,,,,,,,,,
85,148.0108601,117.134406,,,,,,,,,
86,177.1723355,143.1107404,,,,,,,,,
87,225.8058634,223.3020926,,,,,,,,,
88,246.0452119,233.0292706,,,,,,,,,
89,261.4609193,239.0136749,,,,,,,,,
90,338.3567404,271.8891124,,,,,,,,,
91,589.5223113,541.8450923,,,,,,,,,
92,457.8387247,391.2459525,,,,,,,,,
93,410.1196819,343.2092283,,,,,,,,,
94,321.5678682,262.7852131,,,,,,,,,
95,405.1654156,378.2542914,,,,,,,,,
96,142.0084037,138.576043,,,,,,,,,
97,116.0343492,115.2265247,,,,,,,,,
98,31.59469019,31.29644193,,,,,,,,,
99,26.9402803,26.55827709,,,,,,,,,
100,20.29416792,19.78236757,,,,,,,,,
101,98.92641372,86.15114214,,,,,,,,,
102,147.7558785,108.3375552,,,,,,,,,
103,103.3246786,93.59691835,,,,,,,,,
104,166.1797464,144.0820889,,,,,,,,,
105,173.9263115,155.2973657,,,,,,,,,
106,170.7095206,151.5741433,,,,,,,,,
107,254.7824518,213.7729358,,,,,,,,,
108,236.0933713,198.9699127,,,,,,,,,
109,235.6554313,201.3031035,,,,,,,,,
110,226.4549388,181.7592134,,,,,,,,,
111,117.5414976,92.10859515,,,,,,,,,
112,188.0062996,155.7130774,,,,,,,,,
113,266.3396544,229.430835,,,,,,,,,
114,488.2988516,413.5365931,,,,,,,,,
115,519.1620883,444.203446,,,,,,,,,
116,501.2128107,431.9358485,,,,,,,,,
117,488.5768212,419.7347787,,,,,,,,,
118,328.5726175,305.0788238,,,,,,,,,
119,246.2143668,231.0519604,,,,,,,,,
120,139.0625342,138.814358,,,,,,,,,
121,29.44427741,29.22393293,,,,,,,,,
122,8.623893129,8.225940289,,,,,,,,,
123,6.997289202,6.900154186,,,,,,,,,
124,37.5497435,37.28768744,,,,,,,,,
125,50.18805745,39.16520696,,,,,,,,,
126,95.06147723,72.36764617,,,,,,,,,
127,160.7012093,136.7042933,,,,,,,,,
128,169.7584005,145.3600935,,,,,,,,,
129,236.6247095,176.8595184,,,,,,,,,
130,266.0710546,212.8099478,,,,,,,,,
131,333.1352114,275.7281808,,,,,,,,,
132,350.4898564,305.4311124,,,,,,,,,
133,359.4289354,302.5220775,,,,,,,,,
134,321.9708585,259.2387984,,,,,,,,,
135,282.6065108,245.1918433,,,,,,,,,
136,242.6297746,203.2134821,,,,,,,,,
137,352.5004362,299.0850299,,,,,,,,,
138,290.1327528,234.8186335,,,,,,,,,
139,305.5810937,251.7331994,,,,,,,,,
140,367.9929415,304.0893293,,,,,,,,,
141,356.4460322,305.9964193,,,,,,,,,
142,179.2214923,153.6981383,,,,,,,,,
143,109.9147712,90.72960372,,,,,,,,,
144,54.6911576,52.01991973,,,,,,,,,
145,26.53971621,26.03406869,,,,,,,,,
146,16.27893238,15.2086024,,,,,,,,,
147,8.839895424,8.612309589,,,,,,,,,
148,14.58642718,11.97034685,,,,,,,,,
149,81.93645636,54.56479355,,,,,,,,,
150,112.1184703,97.91931473,,,,,,,,,
151,100.4058939,93.59954358,,,,,,,,,
152,120.4539769,108.7388138,,,,,,,,,
153,123.3130654,107.321167,,,,,,,,,
154,140.7710209,120.4985707,,,,,,,,,
155,213.9162763,202.5386266,,,,,,,,,
156,205.9721248,187.1074296,,,,,,,,,
157,164.7476848,158.577544,,,,,,,,,
158,189.9704349,184.8408123,,,,,,,,,
159,162.5146549,153.9495565,,,,,,,,,
160,270.0234018,234.6012711,,,,,,,,,
161,278.133639,260.7803521,,,,,,,,,
162,351.1405333,306.3688455,,,,,,,,,
163,464.1528196,410.0355106,,,,,,,,,
164,545.3847568,503.7581316,,,,,,,,,
165,244.160213,216.6001847,,,,,,,,,
166,142.6244252,121.263231,,,,,Total Power Estimated ,,,31789.54064,Wat/hour
167,184.4958782,179.9417012,,,,,Total Power after optimisation,,,27695.96986,Wat/hour
,,,,,,,,,,,
,,,,,,,Power saved,,,4093.57078,Wat/hour
,,,,,,,Power saved (percentage),,,12.8770995,
